page_id,file_id,file_name,file_number,legal_xlm_roberta-0b561,legal_swiss_roberta-0b561,bloomz-7b1,legal_xlm_longformer-0b279,swiss_bert-0b110,mt0-13b,xlm_swiss_bert-0b110
243eb40e-5429-4b50-89df-1cfe7cf6b716,1069993,CH_BGer_006_6B-6-2019_2019-02-22,6B_6/2019, peugeot, peugeot,  Greffe,,,,
243eb40e-5429-4b50-89df-1cfe7cf6b716,1069993,CH_BGer_006_6B-6-2019_2019-02-22,6B_6/2019, peugeot, peugeot,  Greffe,,,,
146b950b-1e94-4142-a5ec-39b0b8693450,1097955,CH_BGer_009_9C-277-2020_2020-08-10,9C_277/2020, general central, general,,,,,
2a780a7b-c00d-4a4b-9b8b-ffb1290b9c4c,1075076,CH_BGer_006_6B-296-2021_2021-06-23,6B_296/2021,,,  person  Person,,,,
0fbc43d2-8017-4c2e-8cd6-07c4a0e26f82,1101970,CH_BGer_005_5A-95-2019_2019-09-18,5A_95/2019,,,  person  Paul,, J A,,
16927dd2-d434-45c6-a516-0f84026c59ab,964682,CH_BGer_001_1C-510-2018_2019-09-06,1C_510/2018,, etudiant,,,,,
16927dd2-d434-45c6-a516-0f84026c59ab,964682,CH_BGer_001_1C-510-2018_2019-09-06,1C_510/2018,, etudiant,,,,,
32b4baf9-c8d6-4dc0-a13c-39e4b1cdc267,1004989,CH_BGer_001_1B-208-2019_2019-05-29,1B_208/2019,,,,, Suva,, Volkswagen VW Audi
1d026ad4-2747-4db3-8de0-367ab7094674,1067038,CH_BGer_008_8C-735-2020_2021-01-26,8C_735/2020,,,,, Vontobel Valiant Pictet,,
2a780a7b-c00d-4a4b-9b8b-ffb1290b9c4c,1075076,CH_BGer_006_6B-296-2021_2021-06-23,6B_296/2021,,,  person  Person,,,,
76d607a9-b851-4c38-8ed5-0d82df4a3fd3,1041918,CH_BGer_009_9C-468-2020_2021-03-12,9C_468/2020,,,  person  Person,,,,
2a780a7b-c00d-4a4b-9b8b-ffb1290b9c4c,1075076,CH_BGer_006_6B-296-2021_2021-06-23,6B_296/2021,,,  person  Person,,,,
2a780a7b-c00d-4a4b-9b8b-ffb1290b9c4c,1075076,CH_BGer_006_6B-296-2021_2021-06-23,6B_296/2021,,,  person  Person,,,,
16927dd2-d434-45c6-a516-0f84026c59ab,964682,CH_BGer_001_1C-510-2018_2019-09-06,1C_510/2018,, etudiant,,,,,
16927dd2-d434-45c6-a516-0f84026c59ab,964682,CH_BGer_001_1C-510-2018_2019-09-06,1C_510/2018,, etudiant,,,,,
15577aa7-ba4d-40a4-9f4c-2475045769d0,977965,CH_BGer_009_9C-470-2020_2020-09-17,9C_470/2020,,,,,,, Restaurants Gastro Koch
146b950b-1e94-4142-a5ec-39b0b8693450,1097955,CH_BGer_009_9C-277-2020_2020-08-10,9C_277/2020, general central, general,,,,,
22a12e89-886e-48cf-8a28-4bf1457d2af2,994000,CH_BGer_005_5A-679-2020_2021-07-01,5A_679/2020, gmbh,,  person  Erst,,,,
22a12e89-886e-48cf-8a28-4bf1457d2af2,994000,CH_BGer_005_5A-679-2020_2021-07-01,5A_679/2020, gmbh,,  person  Erst,,,,
22a12e89-886e-48cf-8a28-4bf1457d2af2,994000,CH_BGer_005_5A-679-2020_2021-07-01,5A_679/2020, gmbh,,  person  Erst,,,,
22a12e89-886e-48cf-8a28-4bf1457d2af2,994000,CH_BGer_005_5A-679-2020_2021-07-01,5A_679/2020, gmbh,,  person  Erst,,,,
52dc77e5-b08b-40d3-b2a7-cb3790fec26b,1048848,CH_BGer_004_4A-546-2021_2022-01-14,4A_546/2021,,,  person  Person,,,,
2ad8f204-010b-44d4-8506-3e24c10df265,1045762,CH_BGer_004_4A-344-2021_2022-01-13,4A_344/2021,,,  person  Person,, Dupont,,
94a040b7-eead-43ee-ad96-9dd576b69a23,1083676,CH_BGer_004_4A-149-2019_2019-09-09,4A_149/2019,,,  person  Person,, Halter,,
0502c92e-d7d4-470e-8b55-9d1378ce6adc,1008056,CH_BGer_004_4A-359-2019_2019-08-14,4A_359/2019,,,,, Naef Dupont,, Coop Delta
2ad8f204-010b-44d4-8506-3e24c10df265,1045762,CH_BGer_004_4A-344-2021_2022-01-13,4A_344/2021,,,  person  Person,, Dupont,,
4d857165-d868-4a30-b225-e7297e8b6c55,1085955,CH_BGer_001_1C-181-2020_2020-04-17,1C_181/2020,,,,,,, von Müller von Müller
82173f4d-31f8-4038-a10a-0a1b0662a327,999513,CH_BGer_001_1C-437-2019_2020-12-04,1C_437/2019,,,  person  Person,,,,
08ccf218-3158-4abd-9dcf-d20826373e08,1017833,CH_BGer_004_4A-15-2021_2021-02-05,4A_15/2021,,,,,,, Beck Müller Schneider
08ccf218-3158-4abd-9dcf-d20826373e08,1017833,CH_BGer_004_4A-15-2021_2021-02-05,4A_15/2021,,,,,,, Beck Müller Schneider
4d857165-d868-4a30-b225-e7297e8b6c55,1085955,CH_BGer_001_1C-181-2020_2020-04-17,1C_181/2020,,,,,,, von Müller von Müller
1cd3220b-6093-4353-ab35-4ada88566960,952376,CH_BGer_005_5A-19-2019_2020-02-18,5A_19/2019,,,  Bürger,, Coop Gotthard,,
746323c6-ec2d-4d3a-a07e-4dce536bf21f,959097,CH_BGer_002_2C-585-2019_2019-06-19,2C_585/2019,,,,, Volkswagen VW Porsche,,
5dfdfd63-b978-4592-a792-0044dbbfb971,1024294,CH_BGer_004_4A-4-2022_2022-02-10,4A_4/2022,, gmbh,, gmbh, Halter,,
4b927bf0-8114-4d83-9854-d2b542505a87,980206,CH_BGer_001_1C-109-2021_2021-06-08,1C_109/2021,,,  person  Erst,, B M B M,,
4b927bf0-8114-4d83-9854-d2b542505a87,980206,CH_BGer_001_1C-109-2021_2021-06-08,1C_109/2021,,,  person  Erst,, B M B M,,
1cd3220b-6093-4353-ab35-4ada88566960,952376,CH_BGer_005_5A-19-2019_2020-02-18,5A_19/2019,,,  Bürger,, Coop Gotthard,,
08ccf218-3158-4abd-9dcf-d20826373e08,1017833,CH_BGer_004_4A-15-2021_2021-02-05,4A_15/2021,,,,,,, Beck Müller Schneider
02511bb8-938b-4087-b2d8-a9b4628581d9,1063968,CH_BGer_001_1C-4-2020_2020-06-16,1C_4/2020,,,,,,, Sauna Club Spa
2b6f0f4f-eb64-4f9a-ba16-7938842df730,1033836,CH_BGer_009_9C-644-2018_2019-02-27,9C_644/2018,,,,,,, Energie Wind Siemens
2b6f0f4f-eb64-4f9a-ba16-7938842df730,1033836,CH_BGer_009_9C-644-2018_2019-02-27,9C_644/2018,,,,,,, Energie Wind Siemens
02511bb8-938b-4087-b2d8-a9b4628581d9,1063968,CH_BGer_001_1C-4-2020_2020-06-16,1C_4/2020,,,,,,, Sauna Club Spa
44db9cd5-6a7e-4060-a482-a47f8e837976,976792,CH_BGer_005_5A-592-2021_2021-08-03,5A_592/2021, gmbh,,  Marschall,,,,
02511bb8-938b-4087-b2d8-a9b4628581d9,1063968,CH_BGer_001_1C-4-2020_2020-06-16,1C_4/2020,,,,,,, Sauna Club Spa
44db9cd5-6a7e-4060-a482-a47f8e837976,976792,CH_BGer_005_5A-592-2021_2021-08-03,5A_592/2021, gmbh,,  Marschall,,,,
44db9cd5-6a7e-4060-a482-a47f8e837976,976792,CH_BGer_005_5A-592-2021_2021-08-03,5A_592/2021, gmbh,,  Marschall,,,,
44db9cd5-6a7e-4060-a482-a47f8e837976,976792,CH_BGer_005_5A-592-2021_2021-08-03,5A_592/2021, gmbh,,  Marschall,,,,
5180df86-6b64-4deb-9e40-1af03577b229,980301,CH_BGer_004_4A-302-2018_2019-01-17,4A_302/2018, zurich, suisse,,,,,
436d10b1-fbd5-44ae-8cdd-7b81fbb5b482,1033136,CH_BGer_001_1C-664-2019_2020-01-07,1C_664/2019, b l,,  Sagl,,,,
436d10b1-fbd5-44ae-8cdd-7b81fbb5b482,1033136,CH_BGer_001_1C-664-2019_2020-01-07,1C_664/2019, b l,,  Sagl,,,,
436d10b1-fbd5-44ae-8cdd-7b81fbb5b482,1033136,CH_BGer_001_1C-664-2019_2020-01-07,1C_664/2019, b l,,  Sagl,,,,
436d10b1-fbd5-44ae-8cdd-7b81fbb5b482,1033136,CH_BGer_001_1C-664-2019_2020-01-07,1C_664/2019, b l,,  Sagl,,,,
0c28cd80-f52a-4797-aa88-76857d8d1942,1091911,CH_BGer_006_6B-312-2019_2019-04-05,6B_312/2019, zurich,,,,,,
0c28cd80-f52a-4797-aa88-76857d8d1942,1091911,CH_BGer_006_6B-312-2019_2019-04-05,6B_312/2019, zurich,,,,,,
0c28cd80-f52a-4797-aa88-76857d8d1942,1091911,CH_BGer_006_6B-312-2019_2019-04-05,6B_312/2019, zurich,,,,,,
0c28cd80-f52a-4797-aa88-76857d8d1942,1091911,CH_BGer_006_6B-312-2019_2019-04-05,6B_312/2019, zurich,,,,,,
0c28cd80-f52a-4797-aa88-76857d8d1942,1091911,CH_BGer_006_6B-312-2019_2019-04-05,6B_312/2019, zurich,,,,,,
0c28cd80-f52a-4797-aa88-76857d8d1942,1091911,CH_BGer_006_6B-312-2019_2019-04-05,6B_312/2019, zurich,,,,,,
0c28cd80-f52a-4797-aa88-76857d8d1942,1091911,CH_BGer_006_6B-312-2019_2019-04-05,6B_312/2019, zurich,,,,,,
0c28cd80-f52a-4797-aa88-76857d8d1942,1091911,CH_BGer_006_6B-312-2019_2019-04-05,6B_312/2019, zurich,,,,,,
86501ec1-ad8a-44d2-aec2-af71ab264a2b,1098640,CH_BGer_004_4A-623-2019_2020-05-26,4A_623/2019,,,  person  Erst,,,,
2e058e92-9928-4858-a446-3ecb0badb40c,975724,CH_BGer_002_2C-424-2021_2021-10-19,2C_424/2021,,,,, Mme,, Coop Swiss Roche
222745c6-069a-4465-876d-4ec352ff8584,1036582,CH_BGer_001_1B-232-2020_2020-05-19,1B_232/2020,,,,,,, Monsieur M A M A
222745c6-069a-4465-876d-4ec352ff8584,1036582,CH_BGer_001_1B-232-2020_2020-05-19,1B_232/2020,,,,,,, Monsieur M A M A
3df41570-eda4-401d-8120-53124de29e4b,1047327,CH_BGer_008_8C-758-2018_2019-01-07,8C_758/2018,,,  person  Person,,,, Kiss
0c28cd80-f52a-4797-aa88-76857d8d1942,1091911,CH_BGer_006_6B-312-2019_2019-04-05,6B_312/2019, zurich,,,,,,
2cb004aa-fc11-420a-9b9b-13eb2285431f,1014266,CH_BGer_005_5A-411-2019_2019-05-21,5A_411/2019, mutter, mutter,,,,,
2cb004aa-fc11-420a-9b9b-13eb2285431f,1014266,CH_BGer_005_5A-411-2019_2019-05-21,5A_411/2019, mutter, mutter,,,,,
2cb004aa-fc11-420a-9b9b-13eb2285431f,1014266,CH_BGer_005_5A-411-2019_2019-05-21,5A_411/2019, mutter, mutter,,,,,
2cb004aa-fc11-420a-9b9b-13eb2285431f,1014266,CH_BGer_005_5A-411-2019_2019-05-21,5A_411/2019, mutter, mutter,,,,,
8b6a5f72-6e2e-4228-8b35-f6d92d8e0003,962791,CH_BGer_004_4A-442-2021_2022-02-08,4A_442/2021,,,  person  BGT,,,,
3df41570-eda4-401d-8120-53124de29e4b,1047327,CH_BGer_008_8C-758-2018_2019-01-07,8C_758/2018,,,  person  Person,,,, Kiss
69566b9d-9d44-4f52-a26f-0c9635055265,1040783,CH_BGer_002_2C-331-2021_2021-04-23,2C_331/2021,,,,, Emmen Halter Theiler,,
4c3742d8-1df7-4db6-aa33-1842ae756732,1047122,CH_BGer_001_1C-406-2020_2021-03-17,1C_406/2020,,,  person  Prinz,,,,
4c3742d8-1df7-4db6-aa33-1842ae756732,1047122,CH_BGer_001_1C-406-2020_2021-03-17,1C_406/2020,,,  person  Prinz,,,,
4c3742d8-1df7-4db6-aa33-1842ae756732,1047122,CH_BGer_001_1C-406-2020_2021-03-17,1C_406/2020,,,  person  Prinz,,,,
4c3742d8-1df7-4db6-aa33-1842ae756732,1047122,CH_BGer_001_1C-406-2020_2021-03-17,1C_406/2020,,,  person  Prinz,,,,
8d8b7264-022b-4c49-b84d-67b36d2dcdc2,1039260,CH_BGer_005_5A-559-2020_2021-04-19,5A_559/2020,,,  person  Person,,,,
38d71ae7-09bd-4280-acb0-74c87da98250,1101340,CH_BGer_009_9C-278-2021_2021-09-08,9C_278/2021, zurich, zurich,,,,,
38d71ae7-09bd-4280-acb0-74c87da98250,1101340,CH_BGer_009_9C-278-2021_2021-09-08,9C_278/2021, zurich, zurich,,,,,
38d71ae7-09bd-4280-acb0-74c87da98250,1101340,CH_BGer_009_9C-278-2021_2021-09-08,9C_278/2021, zurich, zurich,,,,,
38d71ae7-09bd-4280-acb0-74c87da98250,1101340,CH_BGer_009_9C-278-2021_2021-09-08,9C_278/2021, zurich, zurich,,,,,
2634bf2e-ef66-44ee-a565-f318a6dc66a3,1075635,CH_BGer_001_1C-103-2019_2019-03-28,1C_103/2019, e c e c, c b,,,,,
78c9e02b-fca9-43c2-a559-0083b34cead9,1085039,CH_BGer_004_4A-168-2021_2021-09-06,4A_168/2021,,,  person  Ziff,,,,
2634bf2e-ef66-44ee-a565-f318a6dc66a3,1075635,CH_BGer_001_1C-103-2019_2019-03-28,1C_103/2019, e c e c, c b,,,,,
0d4b2585-3080-4039-9b45-074a803cbf97,992460,CH_BGer_001_1C-276-2019_2020-01-06,1C_276/2019, b c,,  Person  person,,,,
2634bf2e-ef66-44ee-a565-f318a6dc66a3,1075635,CH_BGer_001_1C-103-2019_2019-03-28,1C_103/2019, e c e c, c b,,,,,
55c509ec-3d22-4a90-9bc5-f1a3e81b18c6,1070228,CH_BGer_009_9C-266-2019_2019-05-27,9C_266/2019,,,,,,, Richter  von Müller
2634bf2e-ef66-44ee-a565-f318a6dc66a3,1075635,CH_BGer_001_1C-103-2019_2019-03-28,1C_103/2019, e c e c, c b,,,,,
4feee5ac-c078-45a9-82bd-9a6128c45b0a,987281,CH_BGer_006_6B-434-2019_2019-07-05,6B_434/2019,, la a la a,,,,,
4feee5ac-c078-45a9-82bd-9a6128c45b0a,987281,CH_BGer_006_6B-434-2019_2019-07-05,6B_434/2019,, la a la a,,,,,
4feee5ac-c078-45a9-82bd-9a6128c45b0a,987281,CH_BGer_006_6B-434-2019_2019-07-05,6B_434/2019,, la a la a,,,,,
004adb30-d70b-4a23-ac9c-62ffb923cdd5,1072214,CH_BGer_006_6B-598-2021_2021-06-30,6B_598/2021,, ax,,, B C B C F A,, Kiss
0fbc43d2-8017-4c2e-8cd6-07c4a0e26f82,1101970,CH_BGer_005_5A-95-2019_2019-09-18,5A_95/2019,,,  person  Paul,,,,
0fbc43d2-8017-4c2e-8cd6-07c4a0e26f82,1101970,CH_BGer_005_5A-95-2019_2019-09-18,5A_95/2019,,,  person  Paul,,,,
0d4b2585-3080-4039-9b45-074a803cbf97,992460,CH_BGer_001_1C-276-2019_2020-01-06,1C_276/2019, b c,,  Person  person,,,,
0d4b2585-3080-4039-9b45-074a803cbf97,992460,CH_BGer_001_1C-276-2019_2020-01-06,1C_276/2019, b c,,  Person  person,,,,
0d4b2585-3080-4039-9b45-074a803cbf97,992460,CH_BGer_001_1C-276-2019_2020-01-06,1C_276/2019, b c,,  Person  person,,,,
8986aca1-22c6-4c4f-93aa-4f90a66904ea,1006360,CH_BGer_005_5A-367-2020_2020-10-19,5A_367/2020,,,  person  Person,,,,
90c595c6-d8ab-4a6a-add5-2a867fb9aad3,1115967,CH_BGer_005_5A-167-2020_2020-07-15,5A_167/2020,,,  person  Person,,,,
2515243a-17a1-4d04-bef2-341ed5a15aa6,1091735,CH_BGer_005_5A-927-2018_2019-05-10,5A_927/2018,,,  person  Person,, S A,,
2515243a-17a1-4d04-bef2-341ed5a15aa6,1091735,CH_BGer_005_5A-927-2018_2019-05-10,5A_927/2018,,,  person  Person,, S A,,
48d28c58-e028-4a9f-84dd-08b6f0f2c671,1105435,CH_BGer_004_4A-556-2020_2021-09-27,4A_556/2020, generale,,,,,,
0cb86d59-6294-4eeb-86b8-094e26dd78d4,952402,CH_BGer_001_1B-190-2022_2022-04-20,1B_190/2022,,,,,,, Kiss Johnson Miller
48d28c58-e028-4a9f-84dd-08b6f0f2c671,1105435,CH_BGer_004_4A-556-2020_2021-09-27,4A_556/2020, generale,,,,,,
48d28c58-e028-4a9f-84dd-08b6f0f2c671,1105435,CH_BGer_004_4A-556-2020_2021-09-27,4A_556/2020, generale,,,,,,
48d28c58-e028-4a9f-84dd-08b6f0f2c671,1105435,CH_BGer_004_4A-556-2020_2021-09-27,4A_556/2020, generale,,,,,,
0cb86d59-6294-4eeb-86b8-094e26dd78d4,952402,CH_BGer_001_1B-190-2022_2022-04-20,1B_190/2022,,,,,,, Kiss Johnson Miller
0cb86d59-6294-4eeb-86b8-094e26dd78d4,952402,CH_BGer_001_1B-190-2022_2022-04-20,1B_190/2022,,,,,,, Kiss Johnson Miller
3f31efc7-1bf3-4d50-b096-7a1489bcf8b4,987886,CH_BGer_001_1C-33-2021_2021-04-16,1C_33/2021,, y b,  person  Person,,,,
85a9bf42-f911-4d2d-ba16-eef3be4638d8,961196,CH_BGer_004_4A-33-2020_2020-10-07,4A_33/2020,,,  person  Person,,,,
3f31efc7-1bf3-4d50-b096-7a1489bcf8b4,987886,CH_BGer_001_1C-33-2021_2021-04-16,1C_33/2021,, y b,  person  Person,,,,
3f31efc7-1bf3-4d50-b096-7a1489bcf8b4,987886,CH_BGer_001_1C-33-2021_2021-04-16,1C_33/2021,, y b,  person  Person,,,,
4f9a759f-98de-423a-9d8d-35cd8643f1c3,1084566,CH_BGer_009_9C-303-2021_2021-08-25,9C_303/2021,,,,, Halter,, de Bruxelles
0d4b2585-3080-4039-9b45-074a803cbf97,992460,CH_BGer_001_1C-276-2019_2020-01-06,1C_276/2019, b c,,  Person  person,,,,
3f31efc7-1bf3-4d50-b096-7a1489bcf8b4,987886,CH_BGer_001_1C-33-2021_2021-04-16,1C_33/2021,, y b,  person  Person,,,,
4feee5ac-c078-45a9-82bd-9a6128c45b0a,987281,CH_BGer_006_6B-434-2019_2019-07-05,6B_434/2019,, la a la a,,,,,
27331af8-7daa-4ca6-aa8e-7ac7523a8923,1005293,CH_BGer_005_5A-14-2018_2019-03-11,5A_14/2018, e c,,  person  Person,,,,
0d4b2585-3080-4039-9b45-074a803cbf97,992460,CH_BGer_001_1C-276-2019_2020-01-06,1C_276/2019, b c,,  Person  person,,,,
82311466-dbe1-45f7-a207-34f1bcef0841,1007726,CH_BGer_008_8C-651-2020_2020-11-03,8C_651/2020,,,,, Seiler Meier Rieder,,
54264463-2702-496d-a280-28fd8644aa20,956815,CH_BGer_006_6B-500-2018_2019-03-04,6B_500/2018,,,  la fata,, Immobilien,,
0e74b51d-b409-4edb-9fe4-da65e739866f,1104563,CH_BGer_009_9C-193-2022_2022-04-27,9C_193/2022,,,,,,, Roth Austria Zürich
0e74b51d-b409-4edb-9fe4-da65e739866f,1104563,CH_BGer_009_9C-193-2022_2022-04-27,9C_193/2022,,,,,,, Roth Austria Zürich
27ae5edc-25c0-4e5a-a266-51a46302ad99,1062414,CH_BGer_011_6B-722-2020_2020-11-19,6B_722/2020,,,,,,, Zürich
27ae5edc-25c0-4e5a-a266-51a46302ad99,1062414,CH_BGer_011_6B-722-2020_2020-11-19,6B_722/2020,,,,,,, Zürich
