page_id,file_id,file_name,file_number,legal_xlm_roberta-0b279,legal_xlm_roberta-0b561,legal_swiss_roberta-0b279,legal_swiss_roberta-0b561,bloomz-7b1,bloomz-1b1,legal_xlm_longformer-0b279,swiss_bert-0b110,mt0-13b,xlm_swiss_bert-0b110
690f2670-36f3-480c-8645-f70e981e1437,963346,CH_BGer_002_2C-277-2021_2021-04-14,2C_277/2021,,,,,,,,,, Müller Schneider Meyer Fischer
3f3c6dae-8a51-4c68-a9ee-8de54a6429a4,981301,CH_BGer_002_2C-652-2021_2021-09-03,2C_652/2021,, aa b c, c m,,,,, Pestalozzi Caroline,,
1880c03d-cf9e-47f8-bd2f-6de2918c990c,1112009,CH_BGer_011_6B-1202-2018_2019-01-11,6B_1202/2018,,,,,,,, Vontobel Sarasin Leu Bär,, Frau
616fa2f8-5836-49e3-a565-fed58d25d63b,1069833,CH_BGer_004_4A-59-2021_2022-01-25,4A_59/2021,, aa,,,  person  Person,,,,, Immobilien
03ccf2e1-eb2c-4629-bbf5-a6f07e7c047c,1108025,CH_BGer_004_4A-124-2020_2020-11-13,4A_124/2020,,, c a, holding holdings,  person,,,,,
03ccf2e1-eb2c-4629-bbf5-a6f07e7c047c,1108025,CH_BGer_004_4A-124-2020_2020-11-13,4A_124/2020,,, c a, holding holdings,  person,,,,,
03ccf2e1-eb2c-4629-bbf5-a6f07e7c047c,1108025,CH_BGer_004_4A-124-2020_2020-11-13,4A_124/2020,,, c a, holding holdings,  person,,,,,
03ccf2e1-eb2c-4629-bbf5-a6f07e7c047c,1108025,CH_BGer_004_4A-124-2020_2020-11-13,4A_124/2020,,, c a, holding holdings,  person,,,,,
03ccf2e1-eb2c-4629-bbf5-a6f07e7c047c,1108025,CH_BGer_004_4A-124-2020_2020-11-13,4A_124/2020,,, c a, holding holdings,  person,,,,,
03ccf2e1-eb2c-4629-bbf5-a6f07e7c047c,1108025,CH_BGer_004_4A-124-2020_2020-11-13,4A_124/2020,,, c a, holding holdings,  person,,,,,
03ccf2e1-eb2c-4629-bbf5-a6f07e7c047c,1108025,CH_BGer_004_4A-124-2020_2020-11-13,4A_124/2020,,, c a, holding holdings,  person,,,,,
8d73b4ad-8760-457e-afa0-39bb8f05fc49,982692,CH_BGer_005_5A-639-2020_2021-03-29,5A_639/2020,,, a b a b,,  person  Person,,,,, Frau
87c7dc34-766b-455d-b11f-72e1498268c0,991060,CH_BGer_004_4A-228-2019_2019-09-02,4A_228/2019,, allianz,, helvetia allianz,,, axa,,,
03ccf2e1-eb2c-4629-bbf5-a6f07e7c047c,1108025,CH_BGer_004_4A-124-2020_2020-11-13,4A_124/2020,,, c a, holding holdings,  person,,,,,
432a0106-6e3f-4185-9baf-5b37f11a1ff9,1084986,CH_BGer_008_8C-264-2019_2019-09-09,8C_264/2019,,,,,,  Giovanni  Giovanni Battista,,,,
48a3ce42-c6b8-4f9b-95be-0ce948648b52,1057596,CH_BGer_004_4A-55-2021_2021-03-02,4A_55/2021,,,,,  person,,,,, Müller Schneider A J
432a0106-6e3f-4185-9baf-5b37f11a1ff9,1084986,CH_BGer_008_8C-264-2019_2019-09-09,8C_264/2019,,,,,,  Giovanni  Giovanni Battista,,,,
0518ff84-8665-4330-91ce-61f1f1cacb3d,982718,CH_BGer_009_9C-231-2021_2021-07-28,9C_231/2021,,,,,  person,,,,, Bauer Müller Fischer
48a3ce42-c6b8-4f9b-95be-0ce948648b52,1057596,CH_BGer_004_4A-55-2021_2021-03-02,4A_55/2021,,,,,  person,,,,, Müller Schneider A J
83b821a2-1f4f-4f2a-ad64-87d2340b928a,1071391,CH_BGer_005_5A-1041-2017_2019-02-04,5A_1041/2017,,,, suisse melli,  person  Person,,,,,
03ccf2e1-eb2c-4629-bbf5-a6f07e7c047c,1108025,CH_BGer_004_4A-124-2020_2020-11-13,4A_124/2020,,, c a, holding holdings,  person,,,,,
432a0106-6e3f-4185-9baf-5b37f11a1ff9,1084986,CH_BGer_008_8C-264-2019_2019-09-09,8C_264/2019,,,,,,  Giovanni  Giovanni Battista,,,,
432a0106-6e3f-4185-9baf-5b37f11a1ff9,1084986,CH_BGer_008_8C-264-2019_2019-09-09,8C_264/2019,,,,,,  Giovanni  Giovanni Battista,,,,
0518ff84-8665-4330-91ce-61f1f1cacb3d,982718,CH_BGer_009_9C-231-2021_2021-07-28,9C_231/2021,,,,,  person,,,,, Bauer Müller Fischer
49b0a956-3291-444b-a59f-96c5993b95b2,1102338,CH_BGer_002_2C-29-2022_2022-05-06,2C_29/2022,,, c b c z, a b,  person  Person,,,,,
4a093afc-0041-4ebf-ba2d-98fcf1bca21a,1092268,CH_BGer_001_1B-138-2021_2021-04-09,1B_138/2021,,,,,  person  Person,,,,, Mutter Frau
49b0a956-3291-444b-a59f-96c5993b95b2,1102338,CH_BGer_002_2C-29-2022_2022-05-06,2C_29/2022,,, c b c z, a b,  person  Person,,,,,
06ab0955-395a-425a-aa0a-a80f8cfdba38,961728,CH_BGer_008_8C-371-2020_2020-09-07,8C_371/2020,,,,,  person,,, Helvetia,, Volkswagen
4a093afc-0041-4ebf-ba2d-98fcf1bca21a,1092268,CH_BGer_001_1B-138-2021_2021-04-09,1B_138/2021,,,,,  person  Person,,,,, Mutter Frau
49b0a956-3291-444b-a59f-96c5993b95b2,1102338,CH_BGer_002_2C-29-2022_2022-05-06,2C_29/2022,,, c b c z, a b,  person  Person,,,,,
15577aa7-ba4d-40a4-9f4c-2475045769d0,977965,CH_BGer_009_9C-470-2020_2020-09-17,9C_470/2020,,,,,,,, a A,, Restaurants Gastro Koch
49b0a956-3291-444b-a59f-96c5993b95b2,1102338,CH_BGer_002_2C-29-2022_2022-05-06,2C_29/2022,,, c b c z, a b,  person  Person,,,,,
61692588-d7d1-4687-992f-be11254dc358,954591,CH_BGer_011_6B-1219-2019_2020-04-24,6B_1219/2019,,,,,  person,,, Immobilien Helvetia,,
33074a46-1ea9-463c-82f2-5ed219806c0d,1022759,CH_BGer_004_4A-287-2020_2021-03-24,4A_287/2020, zurich,, y b,,  person  Person,,,,,
8b89ae97-a6d0-4647-b823-78e821d047d9,1028205,CH_BGer_008_8C-424-2018_2019-01-23,8C_424/2018,,,,,  person  Person,,,,, Immobilien
33074a46-1ea9-463c-82f2-5ed219806c0d,1022759,CH_BGer_004_4A-287-2020_2021-03-24,4A_287/2020, zurich,, y b,,  person  Person,,,,,
2938d832-1d35-40e9-a9eb-3cae2e6aaab0,1056573,CH_BGer_004_4A-29-2020_2020-08-27,4A_29/2020, austria plus,, zurich, zurich,,,,,,
33074a46-1ea9-463c-82f2-5ed219806c0d,1022759,CH_BGer_004_4A-287-2020_2021-03-24,4A_287/2020, zurich,, y b,,  person  Person,,,,,
33074a46-1ea9-463c-82f2-5ed219806c0d,1022759,CH_BGer_004_4A-287-2020_2021-03-24,4A_287/2020, zurich,, y b,,  person  Person,,,,,
6697fd7a-8593-49d0-9fa2-93514ad44288,1083691,CH_BGer_006_6B-1106-2018_2019-06-24,6B_1106/2018,,, c b,,,,, Bachmann,, Kiss Richter
8d0c10f3-a009-4848-aebf-ce69e1b1bed0,1022667,CH_BGer_006_6B-426-2021_2021-09-15,6B_426/2021,,,,,  person,  schütte  Schütte,,,,
300d0669-b786-4e10-8c30-7cfb44de38bd,1013394,CH_BGer_005_5D-73-2019_2019-04-01,5D_73/2019, lp, aa,,,,,,,, Bern Zürich Schweiz
300d0669-b786-4e10-8c30-7cfb44de38bd,1013394,CH_BGer_005_5D-73-2019_2019-04-01,5D_73/2019, lp, aa,,,,,,,, Bern Zürich Schweiz
022585c7-e756-4af8-a965-b8d5c473ed98,1089601,CH_BGer_008_8C-592-2020_2021-04-15,8C_592/2020,, aa,,,  person,,,,, Bau Immobilien
022585c7-e756-4af8-a965-b8d5c473ed98,1089601,CH_BGer_008_8C-592-2020_2021-04-15,8C_592/2020,, aa,,,  person,,,,, Bau Immobilien
6cc0dd69-855a-457b-80e1-8f1ba5a515e3,1011263,CH_BGer_001_1C-375-2019_2021-03-26,1C_375/2019,,,, vcs grune,  person  Modus,,,,,
84ce2e76-f29c-47cf-8bf8-88bbd6cac22c,1091325,CH_BGer_001_1C-646-2018_2019-06-13,1C_646/2018,,,,,  person  Person,  Ben Ben,,,,
079d559f-281d-48af-b417-6c22dd92bdcf,1084245,CH_BGer_009_9C-205-2019_2019-04-12,9C_205/2019,, aa,,,,,, Vontobel Coop Sarasin,,
05c57a23-aa1e-4dd9-8a5f-1574cfb5b5e2,1062907,CH_BGer_001_1B-136-2021_2021-08-09,1B_136/2021,,,,,  person,,, Vontobel Leu Bär,,
8a56d447-4570-4005-a604-c66b9c14598a,1025878,CH_BGer_005_5A-273-2020_2020-06-23,5A_273/2020,,,,,  person,,, Halter,, Schneider
05c57a23-aa1e-4dd9-8a5f-1574cfb5b5e2,1062907,CH_BGer_001_1B-136-2021_2021-08-09,1B_136/2021,,,,,  person,,, Vontobel Leu Bär,,
079d559f-281d-48af-b417-6c22dd92bdcf,1084245,CH_BGer_009_9C-205-2019_2019-04-12,9C_205/2019,, aa,,,,,, Vontobel Coop Sarasin,,
59443f55-5c19-48f3-88e7-e7c9337d6776,1020909,CH_BGer_009_9C-123-2019_2019-06-13,9C_123/2019, lpp, lpp avs,, helvetia lpp,,,,,,
2ff5ba19-11e2-4dcd-8235-b3963fe8de6e,1109602,CH_BGer_009_9C-625-2019_2020-05-18,9C_625/2019,,,,,  person,  Schnack,, Bern AG,,
2ff5ba19-11e2-4dcd-8235-b3963fe8de6e,1109602,CH_BGer_009_9C-625-2019_2020-05-18,9C_625/2019,,,,,  person,  Schnack,, Bern AG,,
75d0358a-a755-4199-ab33-0c58c728fec0,1013834,CH_BGer_002_2C-559-2020_2021-06-09,2C_559/2020,,,,,,,, Halter Locher Immobilien,,
1880c03d-cf9e-47f8-bd2f-6de2918c990c,1112009,CH_BGer_011_6B-1202-2018_2019-01-11,6B_1202/2018,,,,,,,, Vontobel Sarasin Leu Bär,,
079d559f-281d-48af-b417-6c22dd92bdcf,1084245,CH_BGer_009_9C-205-2019_2019-04-12,9C_205/2019,, aa,,,,,, Vontobel Coop Sarasin,,
243eb40e-5429-4b50-89df-1cfe7cf6b716,1069993,CH_BGer_006_6B-6-2019_2019-02-22,6B_6/2019,, peugeot,, peugeot,  Greffe,,,,,
0fbc43d2-8017-4c2e-8cd6-07c4a0e26f82,1101970,CH_BGer_005_5A-95-2019_2019-09-18,5A_95/2019,,,,,  person  Paul,  Paul,, J A,,
1d026ad4-2747-4db3-8de0-367ab7094674,1067038,CH_BGer_008_8C-735-2020_2021-01-26,8C_735/2020,,,,,,,, Vontobel Valiant Pictet,,
243eb40e-5429-4b50-89df-1cfe7cf6b716,1069993,CH_BGer_006_6B-6-2019_2019-02-22,6B_6/2019,, peugeot,, peugeot,  Greffe,,,,,
243eb40e-5429-4b50-89df-1cfe7cf6b716,1069993,CH_BGer_006_6B-6-2019_2019-02-22,6B_6/2019,, peugeot,, peugeot,  Greffe,,,,,
243eb40e-5429-4b50-89df-1cfe7cf6b716,1069993,CH_BGer_006_6B-6-2019_2019-02-22,6B_6/2019,, peugeot,, peugeot,  Greffe,,,,,
146b950b-1e94-4142-a5ec-39b0b8693450,1097955,CH_BGer_009_9C-277-2020_2020-08-10,9C_277/2020,, general central,, general,,,,,,
2a780a7b-c00d-4a4b-9b8b-ffb1290b9c4c,1075076,CH_BGer_006_6B-296-2021_2021-06-23,6B_296/2021,,,,,  person  Person,  Bisher,,,,
0fbc43d2-8017-4c2e-8cd6-07c4a0e26f82,1101970,CH_BGer_005_5A-95-2019_2019-09-18,5A_95/2019,,,,,  person  Paul,  Paul,, J A,,
59250b8a-c306-4362-9516-91bfff46280d,1072054,CH_BGer_004_4A-393-2021_2022-03-04,4A_393/2021,, e c e c, c g c g,,  person,,,,,
16927dd2-d434-45c6-a516-0f84026c59ab,964682,CH_BGer_001_1C-510-2018_2019-09-06,1C_510/2018, zurich erasmus,,, etudiant,,,,,,
16927dd2-d434-45c6-a516-0f84026c59ab,964682,CH_BGer_001_1C-510-2018_2019-09-06,1C_510/2018, zurich erasmus,,, etudiant,,,,,,
32b4baf9-c8d6-4dc0-a13c-39e4b1cdc267,1004989,CH_BGer_001_1B-208-2019_2019-05-29,1B_208/2019,,,,,,,, Suva,, Volkswagen VW Audi
1d026ad4-2747-4db3-8de0-367ab7094674,1067038,CH_BGer_008_8C-735-2020_2021-01-26,8C_735/2020,,,,,,,, Vontobel Valiant Pictet,,
33dbe1cf-1c83-4124-9533-71448cfc3e58,1084451,CH_BGer_004_4A-390-2020_2021-02-09,4A_390/2020, borger,,,,  person,, a ng,,, A B
2a780a7b-c00d-4a4b-9b8b-ffb1290b9c4c,1075076,CH_BGer_006_6B-296-2021_2021-06-23,6B_296/2021,,,,,  person  Person,  Bisher,,,,
76d607a9-b851-4c38-8ed5-0d82df4a3fd3,1041918,CH_BGer_009_9C-468-2020_2021-03-12,9C_468/2020,,, a b c a,,  person  Person,,,,,
2a780a7b-c00d-4a4b-9b8b-ffb1290b9c4c,1075076,CH_BGer_006_6B-296-2021_2021-06-23,6B_296/2021,,,,,  person  Person,  Bisher,,,,
33dbe1cf-1c83-4124-9533-71448cfc3e58,1084451,CH_BGer_004_4A-390-2020_2021-02-09,4A_390/2020, borger,,,,  person,, a ng,,, A B
2a780a7b-c00d-4a4b-9b8b-ffb1290b9c4c,1075076,CH_BGer_006_6B-296-2021_2021-06-23,6B_296/2021,,,,,  person  Person,  Bisher,,,,
16927dd2-d434-45c6-a516-0f84026c59ab,964682,CH_BGer_001_1C-510-2018_2019-09-06,1C_510/2018, zurich erasmus,,, etudiant,,,,,,
16927dd2-d434-45c6-a516-0f84026c59ab,964682,CH_BGer_001_1C-510-2018_2019-09-06,1C_510/2018, zurich erasmus,,, etudiant,,,,,,
15577aa7-ba4d-40a4-9f4c-2475045769d0,977965,CH_BGer_009_9C-470-2020_2020-09-17,9C_470/2020,,,,,,,,,, Restaurants Gastro Koch
146b950b-1e94-4142-a5ec-39b0b8693450,1097955,CH_BGer_009_9C-277-2020_2020-08-10,9C_277/2020,, general central,, general,,,,,,
22a12e89-886e-48cf-8a28-4bf1457d2af2,994000,CH_BGer_005_5A-679-2020_2021-07-01,5A_679/2020,, gmbh, a b,,  person  Erst,,,,,
22a12e89-886e-48cf-8a28-4bf1457d2af2,994000,CH_BGer_005_5A-679-2020_2021-07-01,5A_679/2020,, gmbh, a b,,  person  Erst,,,,,
22a12e89-886e-48cf-8a28-4bf1457d2af2,994000,CH_BGer_005_5A-679-2020_2021-07-01,5A_679/2020,, gmbh, a b,,  person  Erst,,,,,
22a12e89-886e-48cf-8a28-4bf1457d2af2,994000,CH_BGer_005_5A-679-2020_2021-07-01,5A_679/2020,, gmbh, a b,,  person  Erst,,,,,
05c57a23-aa1e-4dd9-8a5f-1574cfb5b5e2,1062907,CH_BGer_001_1B-136-2021_2021-08-09,1B_136/2021,,,,,  person,,,,, Zürich Austria
05c57a23-aa1e-4dd9-8a5f-1574cfb5b5e2,1062907,CH_BGer_001_1B-136-2021_2021-08-09,1B_136/2021,,,,,  person,,,,, Zürich Austria
52dc77e5-b08b-40d3-b2a7-cb3790fec26b,1048848,CH_BGer_004_4A-546-2021_2022-01-14,4A_546/2021,,,,,  person  Person,  Bader,,,,
0838b8b3-f7cd-4bf5-891f-855ff8eed36e,974142,CH_BGer_009_9C-778-2019_2020-06-26,9C_778/2019,,,,,  person,,,,, Bau Immobilien
0838b8b3-f7cd-4bf5-891f-855ff8eed36e,974142,CH_BGer_009_9C-778-2019_2020-06-26,9C_778/2019,,,,,  person,,,,, Bau Immobilien
0838b8b3-f7cd-4bf5-891f-855ff8eed36e,974142,CH_BGer_009_9C-778-2019_2020-06-26,9C_778/2019,,,,,  person,,,,, Bau Immobilien
386e61c3-8226-440a-8933-e57a2c46beb2,1085558,CH_BGer_005_5A-956-2020_2021-07-01,5A_956/2020,,,, peter a,  person,,,,, Kinder
2ad8f204-010b-44d4-8506-3e24c10df265,1045762,CH_BGer_004_4A-344-2021_2022-01-13,4A_344/2021,,,,,  person  Person,,, Dupont,,
94a040b7-eead-43ee-ad96-9dd576b69a23,1083676,CH_BGer_004_4A-149-2019_2019-09-09,4A_149/2019,,,,,  person  Person,,, Halter,,
0502c92e-d7d4-470e-8b55-9d1378ce6adc,1008056,CH_BGer_004_4A-359-2019_2019-08-14,4A_359/2019,,,,,,,, Naef Dupont,, Coop Delta
2ad8f204-010b-44d4-8506-3e24c10df265,1045762,CH_BGer_004_4A-344-2021_2022-01-13,4A_344/2021,,,,,  person  Person,,, Dupont,,
386e61c3-8226-440a-8933-e57a2c46beb2,1085558,CH_BGer_005_5A-956-2020_2021-07-01,5A_956/2020,,,, peter a,  person,,,,, Kinder
1d0af8fb-0427-4bf8-9436-db49a17d4df2,1024307,CH_BGer_006_6B-1392-2019_2021-09-14,6B_1392/2019,,,,,  person,,,,, Bank CS Roche
85125ceb-dbbd-46cb-b875-7d74c31f1ceb,967679,CH_BGer_008_8C-276-2019_2019-08-23,8C_276/2019, unia,,, helvetia,  person,,,,,
04c340ed-b068-453f-a94e-5d320723ee58,986274,CH_BGer_002_2C-383-2020_2021-03-08,2C_383/2020, samsung,,, apple,  person,,,,,
04c340ed-b068-453f-a94e-5d320723ee58,986274,CH_BGer_002_2C-383-2020_2021-03-08,2C_383/2020, samsung,,, apple,  person,,,,,
1d0af8fb-0427-4bf8-9436-db49a17d4df2,1024307,CH_BGer_006_6B-1392-2019_2021-09-14,6B_1392/2019,,,,,  person,,,,, Bank CS Roche
04c340ed-b068-453f-a94e-5d320723ee58,986274,CH_BGer_002_2C-383-2020_2021-03-08,2C_383/2020, samsung,,, apple,  person,,,,,
04c340ed-b068-453f-a94e-5d320723ee58,986274,CH_BGer_002_2C-383-2020_2021-03-08,2C_383/2020, samsung,,, apple,  person,,,,,
04c340ed-b068-453f-a94e-5d320723ee58,986274,CH_BGer_002_2C-383-2020_2021-03-08,2C_383/2020, samsung,,, apple,  person,,,,,
4d857165-d868-4a30-b225-e7297e8b6c55,1085955,CH_BGer_001_1C-181-2020_2020-04-17,1C_181/2020,,,,,,,,,, von Müller von Müller
82173f4d-31f8-4038-a10a-0a1b0662a327,999513,CH_BGer_001_1C-437-2019_2020-12-04,1C_437/2019,,,,,  person  Person,  Betz,,,,
08ccf218-3158-4abd-9dcf-d20826373e08,1017833,CH_BGer_004_4A-15-2021_2021-02-05,4A_15/2021,,,,,,,,,, Beck Müller Schneider
08ccf218-3158-4abd-9dcf-d20826373e08,1017833,CH_BGer_004_4A-15-2021_2021-02-05,4A_15/2021,,,,,,,,,, Beck Müller Schneider
4d857165-d868-4a30-b225-e7297e8b6c55,1085955,CH_BGer_001_1C-181-2020_2020-04-17,1C_181/2020,,,,,,,,,, von Müller von Müller
1cd3220b-6093-4353-ab35-4ada88566960,952376,CH_BGer_005_5A-19-2019_2020-02-18,5A_19/2019,,,,,  Bürger,,, Coop Gotthard,,
04c340ed-b068-453f-a94e-5d320723ee58,986274,CH_BGer_002_2C-383-2020_2021-03-08,2C_383/2020, samsung,,, apple,  person,,,,,
746323c6-ec2d-4d3a-a07e-4dce536bf21f,959097,CH_BGer_002_2C-585-2019_2019-06-19,2C_585/2019,,,,,,,, Volkswagen VW Porsche,,
04c340ed-b068-453f-a94e-5d320723ee58,986274,CH_BGer_002_2C-383-2020_2021-03-08,2C_383/2020, samsung,,, apple,  person,,,,,
5dfdfd63-b978-4592-a792-0044dbbfb971,1024294,CH_BGer_004_4A-4-2022_2022-02-10,4A_4/2022, gmbh,,, gmbh,,, gmbh, Halter,,
4b927bf0-8114-4d83-9854-d2b542505a87,980206,CH_BGer_001_1C-109-2021_2021-06-08,1C_109/2021,,,,,  person  Erst,,, B M B M,,
4b927bf0-8114-4d83-9854-d2b542505a87,980206,CH_BGer_001_1C-109-2021_2021-06-08,1C_109/2021,,,,,  person  Erst,,, B M B M,,
1cd3220b-6093-4353-ab35-4ada88566960,952376,CH_BGer_005_5A-19-2019_2020-02-18,5A_19/2019,,,,,  Bürger,,, Coop Gotthard,,
08ccf218-3158-4abd-9dcf-d20826373e08,1017833,CH_BGer_004_4A-15-2021_2021-02-05,4A_15/2021,,,,,,,,,, Beck Müller Schneider
7559bd33-ad5e-4759-a51d-e48e417e6e4e,1048508,CH_BGer_009_9C-111-2021_2021-08-11,9C_111/2021, zurich, zurich,,,  person,,,,,
04c340ed-b068-453f-a94e-5d320723ee58,986274,CH_BGer_002_2C-383-2020_2021-03-08,2C_383/2020, samsung,,, apple,  person,,,,,
087dffa3-6527-4cd4-b65b-56d69654c54d,1067572,CH_BGer_001_1C-537-2020_2021-02-16,1C_537/2020,,,,,  person,,, Sion Martigny,,
04c340ed-b068-453f-a94e-5d320723ee58,986274,CH_BGer_002_2C-383-2020_2021-03-08,2C_383/2020, samsung,,, apple,  person,,,,,
087dffa3-6527-4cd4-b65b-56d69654c54d,1067572,CH_BGer_001_1C-537-2020_2021-02-16,1C_537/2020,,,,,  person,,, Sion Martigny,,
087dffa3-6527-4cd4-b65b-56d69654c54d,1067572,CH_BGer_001_1C-537-2020_2021-02-16,1C_537/2020,,,,,  person,,, Sion Martigny,,
