page_id,file_id,file_name,file_number,swiss_bert-0b110,legal_swiss_roberta-0b561,legal_swiss_longformer-0b279,legal_xlm_longformer-0b279,xlm_swiss_bert-0b110,legal_xlm_roberta-0b561,mt0-13b
16927dd2-d434-45c6-a516-0f84026c59ab,964682,CH_BGer_001_1C-510-2018_2019-09-06,1C_510/2018,, etudiant,,,,,
85125ceb-dbbd-46cb-b875-7d74c31f1ceb,967679,CH_BGer_008_8C-276-2019_2019-08-23,8C_276/2019,, helvetia,,,,,
21f5518b-6d33-4494-bc8a-3e1f456bacb2,1097505,CH_BGer_005_5A-349-2019_2019-07-26,5A_349/2019, A a A a,,,,,,
0fc6a3eb-fca4-49cb-92e7-6d1808b3b5bf,997229,CH_BGer_005_5A-153-2019_2019-09-03,5A_153/2019,,,,, A a A a,,
0f5d1c3a-051e-48b2-9abb-d39944ece59a,1079658,CH_BGer_006_6B-959-2018_2019-05-24,6B_959/2018,,,,,, y b y b,
52ac1c1b-b84b-4b27-9ac7-40fb364695b7,995336,CH_BGer_006_6B-870-2019_2019-09-25,6B_870/2019,,,,, Holding,,
1675369d-2a32-4a36-b117-bd3479f05e64,1037853,CH_BGer_008_8C-382-2019_2019-06-06,8C_382/2019, A a, b c,,,,,
656733d4-71ee-4891-bc65-b8df4e939f85,967137,CH_BGer_006_6B-519-2019_2019-05-02,6B_519/2019, Marazzi,,,,,,
822fe90c-9b21-436a-808a-71f6828fb5db,1016048,CH_BGer_004_4A-322-2019_2019-07-31,4A_322/2019, A a A a,,,,,,
30740536-c967-42d8-b8cc-e3432e5b331c,1095488,CH_BGer_004_4F-11-2019_2019-11-01,4F_11/2019, A a A a,,,,,,
82ad6eb0-20fb-4179-9564-03fe49a6f749,989656,CH_BGer_006_6B-1207-2018_2019-05-17,6B_1207/2018,, ehemann,,,,,
75d8b7e0-3b85-4b77-85ba-2c6b91d04df8,1058317,CH_BGer_008_8C-571-2019_2019-12-16,8C_571/2019, A a A a,,,,,,
8ef06dfa-2701-495b-920e-693e1cb21039,1056949,CH_BGer_001_1B-144-2019_2019-04-16,1B_144/2019, Telefon,,,,,,
54510d43-b943-442a-930e-3eda8a06d348,1005543,CH_BGer_004_4A-139-2018_2019-01-30,4A_139/2018,,,,, Richter,,
4963b998-b687-4bc3-908c-fdb1a04de2e1,971915,CH_BGer_011_6B-806-2018_2019-01-16,6B_806/2018,,,,,, c a b c,
4a4659f2-3ba3-4091-842d-711311e10c28,1100164,CH_BGer_005_5A-359-2019_2019-10-17,5A_359/2019, Holding,,,,,,
1eb816f4-d02d-4621-ab03-1bed50bb0456,1105781,CH_BGer_006_6B-86-2019_2019-02-08,6B_86/2019,, b z,,,, b z,
4f25f026-34bf-4d35-80ad-5a32526eab93,1023789,CH_BGer_011_6B-1266-2018_2019-03-12,6B_1266/2018, Marazzi,,,,,,
84de50d6-28f8-4545-b5c4-b8d7aa694d57,1034385,CH_BGer_011_6B-505-2018_2019-05-03,6B_505/2018,,,,, Richter,,
624d2f26-4829-4343-982e-a8dbaf54146c,1080484,CH_BGer_011_6B-1180-2018_2019-03-06,6B_1180/2018,,,,,, b c y b,
349eeb7a-2851-461f-ac2a-426b7ac13d6d,1025917,CH_BGer_009_9C-55-2019_2019-04-26,9C_55/2019, A a A a,,,,,,
2b791ef1-5432-47ea-9541-ae3afdc2f5fd,1018644,CH_BGer_002_2C-396-2018_2019-07-23,2C_396/2018, Steiner,,,,,,
78c4977b-25ea-4573-b044-4c12ee990259,1054334,CH_BGer_002_2C-491-2019_2019-11-11,2C_491/2019, A a A a,,,,,,
97e5e07d-0da9-4818-a676-7cf604eb7632,964337,CH_BGer_002_2C-972-2018_2019-10-02,2C_972/2018,,, holding,,,,
5bf940c7-9800-4b10-ad0d-89b792850c74,1079229,CH_BGer_001_1C-40-2019_2019-04-08,1C_40/2019,, foglia,,,,,
5df1d7eb-75ee-4772-8e66-ff547573ff6e,1099446,CH_BGer_002_2C-968-2018_2019-10-09,2C_968/2018, Halter,,,,,,
6bd87949-79d2-4a35-99f9-1c8811951414,997149,CH_BGer_004_4A-206-2019_2019-08-29,4A_206/2019, Bühler,,,,,,
0cc52af8-0c1c-4653-b1e1-1fe47b3f81a0,1013731,CH_BGer_005_5A-882-2019_2019-11-07,5A_882/2019, Steuer,,,,,,
73e355d5-4118-45ca-a20a-7411a3a7395b,1037063,CH_BGer_008_8C-675-2018_2019-10-31,8C_675/2018,,,, c a,, fv,
39f2f013-0dc7-4426-a3da-a67bd4ba97c5,1076761,CH_BGer_001_1C-267-2018_2019-07-12,1C_267/2018, Halter,,,,,,
6ca0731d-26ab-42d3-8ae0-485d02e10553,1072938,CH_BGer_011_6F-17-2019_2019-04-17,6F_17/2019, Halter,,,,,,
15b2bf06-ca90-48e2-abdd-4fe574d0cee7,1074454,CH_BGer_001_1B-373-2019_2019-07-26,1B_373/2019,,,,, Müller,,
6ae88744-1ef6-4500-bd2a-16a5dcef9ebb,1062796,CH_BGer_009_9C-704-2019_2019-11-28,9C_704/2019,,,, a z,, aa,
460ad694-4feb-4d40-a401-dc9b5d2dd781,975562,CH_BGer_005_5A-898-2019_2019-11-13,5A_898/2019,,,,,, mutter,
62d38035-310f-4834-905c-bb31131e9eb7,995019,CH_BGer_009_9C-621-2019_2019-10-09,9C_621/2019,, b c,,,, aa,
311313cf-dc4f-45d5-a020-84694a2f82d0,998240,CH_BGer_004_4A-568-2018_2019-06-25,4A_568/2018, Halter,,,,,,
1581eea9-685d-4c99-911c-98c6e2e56b07,961312,CH_BGer_005_5A-851-2019_2019-11-07,5A_851/2019,, y b,,,, aa,
6daaeb56-6522-4e2d-9c09-4acc2d87a09d,962479,CH_BGer_005_5A-833-2019_2019-11-12,5A_833/2019,,,,, Gastro,,
4668f1cd-7b11-44ac-b6e3-f0e7d91289a0,980546,CH_BGer_002_2C-523-2019_2019-11-12,2C_523/2019, Crypto,,,,,,
6d57cafa-a7c6-4c68-8e1f-adcf5030cfd8,1014286,CH_BGer_009_9F-11-2019_2019-08-19,9F_11/2019, Gastro,,,,,,
230d8675-988a-4b59-9593-e97f158305fb,1061015,CH_BGer_008_8C-380-2018_2019-02-28,8C_380/2018, Halter,,,,,,
3552e862-c4c8-487c-96ae-b9fcf8e7d335,1033919,CH_BGer_004_4A-109-2019_2019-09-06,4A_109/2019,,,, b c,, aa,
2dddcc4d-581d-43d3-b2cb-3e2dd0547e78,1052741,CH_BGer_009_9C-218-2019_2019-09-25,9C_218/2019, Bühler,,,,,,
378b8ea6-bc45-4eb9-83e6-53066250f7f7,1014087,CH_BGer_008_8C-656-2019_2019-11-22,8C_656/2019,,,,,, aa b c,
7e3ad846-1c6f-4da0-9558-b6d43914d491,984371,CH_BGer_001_1C-67-2018_2019-03-04,1C_67/2018, Bühler,,,,,,
2935f5e7-ed04-4b99-a2f3-8764fd016596,1071232,CH_BGer_005_5A-982-2018_2019-01-11,5A_982/2018,,,,,, mutter,
005ba267-e957-4e54-a2aa-2e44ec52a3f2,952548,CH_BGer_004_4A-442-2018_2019-01-24,4A_442/2018,,,, zurich,,,
0c28cd80-f52a-4797-aa88-76857d8d1942,1091911,CH_BGer_006_6B-312-2019_2019-04-05,6B_312/2019,,,,,, zurich,
9150b6c6-9807-4cd6-8901-88860deb3279,1092265,CH_BGer_009_9C-147-2019_2019-04-25,9C_147/2019, Halter,,,,,,
4e49ac85-edc2-46ad-9535-a4c4a82dbb3a,1095567,CH_BGer_002_2C-747-2018_2019-03-11,2C_747/2018, Halter,,,,,,
135b7a99-cd08-4d7f-9a08-da71cfab149a,970363,CH_BGer_001_1C-521-2018_2019-09-03,1C_521/2018,,,,, Zürich,,
0c131633-7aab-4d05-b430-301f9319b8fd,980322,CH_BGer_005_5A-758-2018_2019-04-18,5A_758/2018, Halter,,,,,,
26dc9196-15c9-45a9-b5c4-ff93deb2421f,980336,CH_BGer_002_2C-373-2018_2019-01-31,2C_373/2018, Crypto,,,,,,
8c831a4f-5763-4542-af99-2a646f6bb76e,1003341,CH_BGer_004_4A-215-2017_2019-01-15,4A_215/2017,,,, zurich,,,
764b213e-73ce-466b-ae37-176cb6732bfa,1044448,CH_BGer_009_9C-392-2018_2019-04-01,9C_392/2018, Halter,,,,,,
2b6e638a-95cc-43ca-9810-6e37e8753dc8,1043058,CH_BGer_004_4A-15-2019_2019-03-14,4A_15/2019,,,,,  Frau,,
1d77e78e-46cb-4766-9f33-a4a581d6044d,980226,CH_BGer_005_5A-1050-2018_2019-05-17,5A_1050/2018,,,,, Roche,,
3921c623-3cba-41ac-8a74-b0e2b9bd02d9,1024023,CH_BGer_005_5A-594-2019_2019-07-30,5A_594/2019,,,,, Firma,,
2829603a-153d-4591-8529-c224f7ff280f,951981,CH_BGer_005_5D-199-2019_2019-10-18,5D_199/2019,,,,,, aa ax,
236fbaff-87c3-463f-8134-484cf4a51e76,1017351,CH_BGer_011_6B-741-2019_2019-08-21,6B_741/2019,,,,, Hotel,,
59eaae5e-09cb-4735-a019-afefeaf2fe43,971378,CH_BGer_008_8C-641-2018_2019-05-15,8C_641/2018,,,,, Firma,,
7f9b5d1d-4740-4a95-822a-3da9bb7c5a62,1021287,CH_BGer_006_6B-371-2019_2019-03-28,6B_371/2019,,,,, Firma,,
0287a4c6-537b-42d3-a845-6854b07db504,1001048,CH_BGer_002_2C-671-2019_2019-07-23,2C_671/2019,, ax,, rf,,,
1f1d7d5e-be3b-47fa-a375-014bd4ffccbe,962947,CH_BGer_005_5A-814-2018_2019-08-05,5A_814/2018,,,,,, aa xc,
6793a498-4b18-4976-817a-e5eeab1fbe13,1042262,CH_BGer_002_2C-281-2019_2019-09-26,2C_281/2019,,, la a,,,,
197f576e-6b4d-49ff-8cbc-0ab3f8d48212,1015415,CH_BGer_002_2C-369-2019_2019-04-29,2C_369/2019,,,,, Frau,,
5d578f84-f765-4974-9cae-8afe82ebf3ba,1089770,CH_BGer_005_5A-860-2019_2019-10-31,5A_860/2019,,,,, GmbH,,
4e295579-d7f4-4846-a1ef-f8679f2b2931,966649,CH_BGer_002_2C-383-2018_2019-10-09,2C_383/2018,, sagl,,,,,
6d0e12d7-0e7b-4665-a179-e80f06c86af8,1011719,CH_BGer_005_5D-94-2018_2019-01-29,5D_94/2018,,,,,, gmbh,
6585c886-e50f-4f4c-adaa-576586c15c98,1093673,CH_BGer_005_5A-905-2018_2019-03-26,5A_905/2018,,,,, Bern,,
08b54993-6c8b-4685-9792-ce26c9dffb55,1051305,CH_BGer_009_9C-812-2018_2019-06-11,9C_812/2018,,,,,, gmbh,
53505ef7-4d56-44e2-9c36-99389ced8738,1029980,CH_BGer_002_2C-715-2019_2019-08-26,2C_715/2019,,,,,, sarl,
0e93760c-d146-4ccb-95ab-80772eb6c533,957189,CH_BGer_011_6B-205-2018_2019-03-05,6B_205/2018,,,,,, gmbh,
91e744a1-174a-4238-bc77-29da49182185,1098137,CH_BGer_004_4A-513-2019_2019-11-06,4A_513/2019,,,,,, gmbh,
269fb639-2c13-49ef-a553-d9666bd13173,1100693,CH_BGer_005_5A-892-2019_2019-11-11,5A_892/2019,,,,,  von,,
76d4262f-6328-4345-b1bd-5e3b38592a44,962689,CH_BGer_001_1F-39-2019_2019-08-26,1F_39/2019,,,,, Frau,,
45f01243-3a69-4b95-a37e-f57bbf3fe2a1,968449,CH_BGer_001_1C-342-2019_2019-06-26,1C_342/2019, Coop,,,,,,
5cb545a7-dd6f-468d-a938-f942669c7ed0,979462,CH_BGer_008_8C-446-2019_2019-10-22,8C_446/2019,,,, as a,,,
8001f5a1-aa24-4c36-8dfc-ed362a60b14b,995885,CH_BGer_008_8C-445-2019_2019-11-12,8C_445/2019, Suva,,,,,,
1da1b8ba-753f-4c5b-b858-cccde535af2a,1078375,CH_BGer_001_1C-516-2019_2019-10-22,1C_516/2019,,,,,,, sagl
33806726-ad12-4403-a13f-701e2d9fbe77,964892,CH_BGer_009_9C-616-2019_2019-10-09,9C_616/2019,,,,,, sarl,
58c3150a-f3ca-408d-b5bc-c50974438b01,979337,CH_BGer_009_9C-431-2019_2019-10-17,9C_431/2019,,,,, Kiss,,
8e0a0962-ead6-4188-a53d-69184b01fc71,965539,CH_BGer_005_5D-230-2019_2019-12-24,5D_230/2019, Suva,,,,,,
4743e233-2bf9-4023-a21d-7b2b04f1e01b,1068714,CH_BGer_004_4A-517-2019_2019-11-06,4A_517/2019,,,,,, gmbh,
085f1986-77f1-4559-9676-27b889348753,1071603,CH_BGer_006_6B-1113-2019_2019-11-01,6B_1113/2019,,,, a je,,,
2b827f17-3f6a-495e-bd4c-3053dd9a173e,1050582,CH_BGer_002_2C-616-2018_2019-07-09,2C_616/2018,,,,, Post,,
46ba5bb7-f534-465b-b00d-d7a104bb8d45,1026238,CH_BGer_001_1C-546-2018_2019-11-26,1C_546/2018,,,,,, sarl,
170ca56c-798a-4271-802d-0ab4d8a92cf0,1041943,CH_BGer_011_6B-1095-2019_2019-10-30,6B_1095/2019,,,, as a,,,
73c3d02f-a635-438f-a973-9d1cf3e8179b,954082,CH_BGer_009_9C-667-2018_2019-01-18,9C_667/2018,,, la a,,,,
87ac5db6-334c-41a9-9839-aeda910ed501,1087888,CH_BGer_005_5A-297-2019_2019-04-10,5A_297/2019,,,, m a,,,
66db7f27-5420-43a8-a15c-41411c8cb839,986230,CH_BGer_002_2D-45-2019_2019-10-14,2D_45/2019, E M,,,,,,
5bd44321-898a-4715-bf0b-5486712ad6a1,1083106,CH_BGer_004_4A-29-2019_2019-07-10,4A_29/2019,,, c a,,,,
5ced0dbc-4652-4ac5-a963-b0278abd0112,1059398,CH_BGer_004_4A-224-2019_2019-11-11,4A_224/2019,,,,,, b c,
25df29c8-dd76-45a8-b5a6-fd4eff002236,978889,CH_BGer_005_5A-748-2019_2019-09-24,5A_748/2019,,,, y b,,,
420e4339-1c7f-4c89-965d-6ba725ced3dd,1113897,CH_BGer_001_1B-265-2019_2019-06-03,1B_265/2019,,,,, Zug,,
12642576-7e1e-49b8-b348-e0e0c5e68232,1060379,CH_BGer_002_2C-678-2019_2019-11-21,2C_678/2019, A F,,,,,,
683e5cdf-692e-4cef-b667-18d4518ffe00,1059102,CH_BGer_009_9C-192-2019_2019-04-25,9C_192/2019,,,,, Bar,,
0d90fae9-89d8-4bd2-a738-45a3fdc9d350,1002862,CH_BGer_002_2C-257-2018_2019-11-11,2C_257/2018,,, c z,,,,
132c2c5a-6f32-468d-9ad7-db1a6e1b75c7,1077935,CH_BGer_004_4A-91-2019_2019-04-16,4A_91/2019,,,, b c,,,
5a49c158-2ac1-4eaf-8a58-f8b44eb770de,964740,CH_BGer_009_9C-209-2019_2019-07-22,9C_209/2019,,,,,, e c,
1257a6f3-20da-4c08-aecc-1732ccd1a91b,1019514,CH_BGer_002_2C-193-2019_2019-03-01,2C_193/2019, P S,,,,,,
0fbc43d2-8017-4c2e-8cd6-07c4a0e26f82,1101970,CH_BGer_005_5A-95-2019_2019-09-18,5A_95/2019, A a,,,,,,
591d9967-9f90-4cd7-9909-47d471df45e3,986523,CH_BGer_008_8C-778-2018_2019-03-20,8C_778/2018,,,,, Bau,,
66698eba-6e48-422d-aab5-4c2f1cb00472,1107373,CH_BGer_005_5D-1-2019_2019-01-04,5D_1/2019,,, y b,,,,
11954dbf-789d-4b54-b37e-af7ebdc4f868,993508,CH_BGer_008_8C-331-2019_2019-09-18,8C_331/2019, A a,,,,,,
856db007-3d14-4acf-88c9-2c453d8e149f,1034828,CH_BGer_006_6B-135-2018_2019-03-22,6B_135/2018,, sva,,,,,
103c32dc-3ccc-4a80-8cb5-da37bae3f2a9,1005903,CH_BGer_002_2C-384-2019_2019-11-18,2C_384/2019,,, b d,,,,
79c17041-f252-4281-b632-f2a66111d268,1071802,CH_BGer_001_1C-650-2018_2019-05-22,1C_650/2018, A a,,,,,,
7fd480c9-293e-46f8-bec3-21fdac6cd741,986838,CH_BGer_004_4A-474-2019_2019-12-09,4A_474/2019,,,,,, b c,
8aa58726-9e07-4563-82d3-fceff4448670,1100514,CH_BGer_002_2C-424-2018_2019-03-15,2C_424/2018,, y b,,,,,
53651fbe-a2e1-406c-886f-9b2f23ff5802,1058977,CH_BGer_009_9C-317-2019_2019-09-24,9C_317/2019, S I,,,,,,
18111c33-774e-4e58-beb1-4158bc5d96da,1004933,CH_BGer_001_1C-15-2018_2019-04-15,1C_15/2018,, eos,,,,,
0687ba92-56a4-4e24-86c9-d01926e5872d,979236,CH_BGer_005_5A-1030-2018_2019-02-05,5A_1030/2018,,,, b c,,,
1590df4d-1ba5-4206-9e18-6b2871554c59,993109,CH_BGer_004_4A-614-2018_2019-10-08,4A_614/2018,,,,,, y b,
529a3ae6-aa94-4258-a01b-e5a89fb7f803,1063583,CH_BGer_004_4A-546-2019_2019-12-20,4A_546/2019, A a,,,,,,
60651e6c-7822-49de-b6e4-b2122dc22a3c,967929,CH_BGer_004_4A-403-2018_2019-03-11,4A_403/2018,,,, b c,,,
7dd85ec9-67c7-4d2c-86f9-4d5923e3b3d0,1006922,CH_BGer_005_5D-176-2018_2019-03-12,5D_176/2018,,,, b d,,,
51d06952-d52f-472a-bedf-55a1886ab2b6,954444,CH_BGer_005_5A-596-2019_2019-10-23,5A_596/2019,,,,, Zug,,
6faa51e9-78de-4b69-b77b-17c12b1376f4,1044489,CH_BGer_009_9C-483-2019_2019-09-25,9C_483/2019, A a,,,,,,
29d3ae88-1cd8-4130-9daa-49100930bd90,1036315,CH_BGer_005_5A-436-2018_2019-04-04,5A_436/2018,,, y b,,,,
1ecf646a-637d-459d-9837-b9397c281c3c,991742,CH_BGer_006_6G-3-2019_2019-10-15,6G_3/2019, S I,,,,,,
9313a71d-4357-4814-ba1f-08401bb05c85,988718,CH_BGer_001_1C-114-2018_2019-06-21,1C_114/2018,,,,,, b c,
7c874d7a-90b1-4d6b-b8fe-c4a711bd0dba,1093291,CH_BGer_008_8C-524-2019_2019-08-26,8C_524/2019,,,,,, y b,
3a7b9934-e0d1-4430-9c47-16746c1bc521,1086383,CH_BGer_011_6B-691-2019_2019-08-22,6B_691/2019,,,,,, b c,
6b8d14a1-569b-469e-9324-d46132194fdb,1034669,CH_BGer_011_6B-693-2019_2019-06-28,6B_693/2019,,,,,, y b,
02d6411b-7c1a-46d9-9df3-585d26584a25,1075543,CH_BGer_006_6B-276-2019_2019-05-15,6B_276/2019,,,,,, y b,
6bdf7a3b-10a8-4fec-b731-770283045110,972221,CH_BGer_001_1B-41-2019_2019-02-19,1B_41/2019,,, y b,,,,
38242486-4334-4026-8c1e-658396f593cc,996708,CH_BGer_005_5D-2-2019_2019-01-04,5D_2/2019,,, y b,,,,
947a148b-0f74-4d1c-8065-52f0826f1458,1074885,CH_BGer_008_8C-477-2019_2019-09-19,8C_477/2019,,,,, A a,,
64521497-93ea-4e15-b85d-bb44d8bf9a87,987441,CH_BGer_001_1B-137-2019_2019-03-28,1B_137/2019,,,,, Bau,,
382eddd3-cf1c-4239-bff9-9438f7dfa4c3,1063213,CH_BGer_011_6B-1183-2019_2019-10-30,6B_1183/2019,,,,, A a,,
9541e5cf-984f-44b3-b5e7-8989d8962a1d,965745,CH_BGer_008_8C-602-2019_2019-10-29,8C_602/2019,,,,, SAP,,
1c1ad49b-09e9-4f50-950f-9e22dc35c3be,1101093,CH_BGer_011_6B-1048-2018_2019-01-11,6B_1048/2018,, b z,,,,,
2bbb0397-452b-4a38-aff6-b2ca6dbce998,959094,CH_BGer_006_6B-437-2019_2019-08-08,6B_437/2019,,,,,, y b,
00f74c04-c1c7-47ec-a8e9-01fa5aa4bc1f,1094769,CH_BGer_005_5A-591-2019_2019-07-30,5A_591/2019,, b c,,,,,
